model-id,language,repository,task,score,coverage,files-executed,files-executed-maximum-reachable,generate-tests-for-file-character-count,processing-time,response-character-count,response-no-error,response-no-excess,response-with-code,tests-passing
openrouter/01-ai/yi-34b-chat,golang,golang/plain,write-tests,1,0,0,1,829,6627,830,1,0,0,0
openrouter/01-ai/yi-34b-chat,golang,golang/plain,write-tests,2,0,0,1,152,12945,1290,1,0,1,0
openrouter/01-ai/yi-34b-chat,golang,golang/plain,write-tests,2,0,0,1,275,9097,739,1,0,1,0
openrouter/01-ai/yi-34b-chat,golang,golang/plain,write-tests,2,0,0,1,55,1889,135,1,0,1,0
openrouter/01-ai/yi-34b-chat,golang,golang/plain,write-tests,3,0,0,1,422,6032,437,1,1,1,0
openrouter/01-ai/yi-34b-chat,golang,golang/plain,write-tests-symflower-fix,1,0,0,1,829,6627,830,1,0,0,0
openrouter/01-ai/yi-34b-chat,golang,golang/plain,write-tests-symflower-fix,2,0,0,1,152,12945,1290,1,0,1,0
openrouter/01-ai/yi-34b-chat,golang,golang/plain,write-tests-symflower-fix,2,0,0,1,275,9097,739,1,0,1,0
openrouter/01-ai/yi-34b-chat,golang,golang/plain,write-tests-symflower-fix,2,0,0,1,55,1889,135,1,0,1,0
openrouter/01-ai/yi-34b-chat,golang,golang/plain,write-tests-symflower-fix,4,0,1,1,422,6431,437,1,1,1,0
openrouter/01-ai/yi-34b-chat,java,java/light,write-tests,122,90,1,23,12907,174690,17934,21,1,9,0
openrouter/01-ai/yi-34b-chat,java,java/light,write-tests,29,0,0,23,19147,208321,21315,17,2,10,0
openrouter/01-ai/yi-34b-chat,java,java/light,write-tests,31,0,0,23,6418,98645,9636,22,0,9,0
openrouter/01-ai/yi-34b-chat,java,java/light,write-tests,88,60,1,23,10836,128487,14005,21,1,5,0
openrouter/01-ai/yi-34b-chat,java,java/light,write-tests,95,60,1,23,13106,175664,16628,20,3,11,0
openrouter/01-ai/yi-34b-chat,java,java/light,write-tests-symflower-fix,122,90,1,23,12907,174690,17934,21,1,9,0
openrouter/01-ai/yi-34b-chat,java,java/light,write-tests-symflower-fix,29,0,0,23,19147,208321,21315,17,2,10,0
