model_id,mean,sum,coefficient_of_variation,standard_error,standard_deviation,mean_deviation
openrouter/01-ai/yi-34b-chat,46.8,234,0.710514265061696,74.35388355694677,33.25206760488737,23.68
openrouter/ai21/jamba-instruct,3070,15350,0.15871383554176252,1089.5274204901866,487.2514751132109,371.2
openrouter/alpindale/goliath-120b,458.6,2293,0.15630601037456227,160.28568245479696,71.68193635777426,55.92
openrouter/alpindale/magnum-72b,3610.6,18053,0.1555375125026814,1255.7394236066652,561.5837426421815,447.12
openrouter/anthropic/claude-3-haiku,6697,33485,0.06699346167396161,1003.2235543486805,448.6552128305209,353.2
openrouter/anthropic/claude-3-opus,7591,37955,0.03503877256021456,594.7478457295999,265.9793225045887,203.2
openrouter/anthropic/claude-3-sonnet,5777,28885,0.08628755397536507,1114.6423193114463,498.48319931568403,386
openrouter/anthropic/claude-3.5-sonnet,7800,39000,0.030258447345591667,527.7475722350601,236.015889295615,169.2
openrouter/austism/chronos-hermes-13b,2623.6,13118,0.1818744869883852,1066.9753980294015,477.1659040627274,397.68
openrouter/cognitivecomputations/dolphin-llama-3-70b,5098.6,25493,0.09351217720734614,1066.115143875182,476.7811867093751,358.32000000000005
openrouter/cognitivecomputations/dolphin-mixtral-8x22b,4661,23305,0.13047119082835978,1359.8115678284253,608.126220450985,421.6
openrouter/cognitivecomputations/dolphin-mixtral-8x7b,2237.4,11187,0.1779781161087009,890.4206870912199,398.2082369816074,335.68
openrouter/cohere/command-r-03-2024,2897.8,14489,0.05650905740676231,366.1604839411266,163.75194655331583,125.83999999999996
openrouter/cohere/command-r-08-2024,4228.4,21142,0.12257167393353455,1158.913931230443,518.2820660605574,413.9200000000001
openrouter/cohere/command-r-plus-04-2024,5251.4,26257,0.10175388529397553,1194.8437136295274,534.350353232783,446.7200000000001
openrouter/cohere/command-r-plus-08-2024,5154.6,25773,0.09231724816044519,1064.0519254246947,475.85848736783083,366.4799999999999
openrouter/databricks/dbrx-instruct,2898.6,14493,0.14402949420576328,933.5223618103639,417.48389190482544,320.48
openrouter/deepseek/deepseek-chat,7635,38175,0.029101389475306577,496.8299507879935,222.1891086439657,156.8
openrouter/deepseek/deepseek-coder,7544.6,37723,0.0420356807570399,709.1519583276915,317.14239703956326,271.2799999999999
openrouter/google/gemini-flash-1.5,4978.8,24894,0.017253609313789497,192.0833152566875,85.90227005149515,64.16000000000004
openrouter/google/gemini-pro-1.5,4083,20415,0.043754713882127226,399.4746550158095,178.65049678072546,143.2
openrouter/google/gemma-2-27b-it,4725.2,23626,0.07209351527563333,761.730595420717,340.65627838042263,264.16
openrouter/google/gemma-2-9b-it,1958.2,9791,0.19000346200897242,831.9621385616055,372.0647793059698,301.76
openrouter/google/palm-2-chat-bison,2037,10185,0.12476418451381269,568.2846997764412,254.14464385463646,187.2
openrouter/google/palm-2-codechat-bison,1816.6,9083,0.08765121444979557,356.04283450169305,159.22719616949863,128.08
openrouter/meta-llama/llama-3-70b-instruct,6465,32325,0.08734155822683105,1262.6252413127183,564.6631739364627,470.8
openrouter/meta-llama/llama-3-8b-instruct,1918.4,9592,0.14578153791875414,625.3550991236898,279.66730234333795,226.71999999999997
openrouter/meta-llama/llama-3.1-405b-instruct,7399,36995,0.06280351742590534,1039.0632800748951,464.68322543427365,352
openrouter/meta-llama/llama-3.1-70b-instruct,6757.8,33789,0.08570875751998606,1295.1364792947497,579.2026415685618,438.96000000000004
openrouter/meta-llama/llama-3.1-8b-instruct,4726.8,23634,0.15172006487165077,1603.5970503839173,717.1504026353189,545.04
openrouter/microsoft/phi-3-medium-128k-instruct,2201.4,11007,0.15617193045849667,768.7532113754062,343.7968877113346,276.08000000000004
openrouter/microsoft/phi-3-medium-4k-instruct,2813.4,14067,0.1368039164038207,860.6270969473364,384.8841384105092,273.28000000000003
openrouter/microsoft/phi-3-mini-128k-instruct,3204.2,16021,0.11777440859285507,843.8311442462882,377.3727600132262,297.43999999999994
openrouter/microsoft/wizardlm-2-7b,2811.4,14057,0.10150911484520428,638.1351737680661,285.3827254758073,212.32
openrouter/microsoft/wizardlm-2-8x22b,5386.8,26934,0.05912395713666318,712.1629027125746,318.48893230377723,258.23999999999995
